loading preprocessed files
0/8610 (epoch 0), train_loss = 4.476, time/batch = 0.689
model saved to save_2/model.ckpt
1/8610 (epoch 0), train_loss = 4.404, time/batch = 0.051
2/8610 (epoch 0), train_loss = 3.976, time/batch = 0.051
3/8610 (epoch 0), train_loss = 4.053, time/batch = 0.050
4/8610 (epoch 0), train_loss = 3.515, time/batch = 0.047
5/8610 (epoch 0), train_loss = 3.349, time/batch = 0.048
6/8610 (epoch 0), train_loss = 3.332, time/batch = 0.047
7/8610 (epoch 0), train_loss = 3.337, time/batch = 0.047
8/8610 (epoch 0), train_loss = 3.373, time/batch = 0.046
9/8610 (epoch 0), train_loss = 3.261, time/batch = 0.047
10/8610 (epoch 0), train_loss = 3.258, time/batch = 0.046
11/8610 (epoch 0), train_loss = 3.252, time/batch = 0.046
12/8610 (epoch 0), train_loss = 3.189, time/batch = 0.046
13/8610 (epoch 0), train_loss = 3.225, time/batch = 0.046
14/8610 (epoch 0), train_loss = 3.158, time/batch = 0.046
15/8610 (epoch 0), train_loss = 3.168, time/batch = 0.046
16/8610 (epoch 0), train_loss = 3.150, time/batch = 0.046
17/8610 (epoch 0), train_loss = 3.173, time/batch = 0.046
18/8610 (epoch 0), train_loss = 3.132, time/batch = 0.046
19/8610 (epoch 0), train_loss = 3.147, time/batch = 0.046
20/8610 (epoch 0), train_loss = 3.130, time/batch = 0.046
21/8610 (epoch 0), train_loss = 3.158, time/batch = 0.046
22/8610 (epoch 0), train_loss = 3.166, time/batch = 0.046
23/8610 (epoch 0), train_loss = 3.166, time/batch = 0.049
24/8610 (epoch 0), train_loss = 3.117, time/batch = 0.046
25/8610 (epoch 0), train_loss = 3.108, time/batch = 0.046
26/8610 (epoch 0), train_loss = 3.098, time/batch = 0.049
27/8610 (epoch 0), train_loss = 3.125, time/batch = 0.046
28/8610 (epoch 0), train_loss = 3.136, time/batch = 0.046
29/8610 (epoch 0), train_loss = 3.126, time/batch = 0.046
30/8610 (epoch 0), train_loss = 3.101, time/batch = 0.046
31/8610 (epoch 0), train_loss = 3.130, time/batch = 0.046
32/8610 (epoch 0), train_loss = 3.100, time/batch = 0.046
33/8610 (epoch 0), train_loss = 3.081, time/batch = 0.046
34/8610 (epoch 0), train_loss = 3.122, time/batch = 0.046
35/8610 (epoch 0), train_loss = 3.097, time/batch = 0.046
36/8610 (epoch 0), train_loss = 3.108, time/batch = 0.046
37/8610 (epoch 0), train_loss = 3.119, time/batch = 0.046
38/8610 (epoch 0), train_loss = 3.144, time/batch = 0.046
39/8610 (epoch 0), train_loss = 3.088, time/batch = 0.046
40/8610 (epoch 0), train_loss = 3.093, time/batch = 0.046
41/8610 (epoch 0), train_loss = 3.103, time/batch = 0.049
42/8610 (epoch 0), train_loss = 3.071, time/batch = 0.046
43/8610 (epoch 0), train_loss = 3.093, time/batch = 0.049
44/8610 (epoch 0), train_loss = 3.065, time/batch = 0.046
45/8610 (epoch 0), train_loss = 3.086, time/batch = 0.046
46/8610 (epoch 0), train_loss = 3.036, time/batch = 0.046
47/8610 (epoch 0), train_loss = 3.062, time/batch = 0.046
48/8610 (epoch 0), train_loss = 2.978, time/batch = 0.046
49/8610 (epoch 0), train_loss = 3.009, time/batch = 0.046
50/8610 (epoch 0), train_loss = 2.971, time/batch = 0.046
51/8610 (epoch 0), train_loss = 2.952, time/batch = 0.046
52/8610 (epoch 0), train_loss = 2.981, time/batch = 0.049
53/8610 (epoch 0), train_loss = 2.936, time/batch = 0.046
54/8610 (epoch 0), train_loss = 2.879, time/batch = 0.046
55/8610 (epoch 0), train_loss = 2.897, time/batch = 0.046
56/8610 (epoch 0), train_loss = 2.885, time/batch = 0.046
57/8610 (epoch 0), train_loss = 2.885, time/batch = 0.046
58/8610 (epoch 0), train_loss = 2.859, time/batch = 0.046
59/8610 (epoch 0), train_loss = 2.885, time/batch = 0.046
60/8610 (epoch 0), train_loss = 2.845, time/batch = 0.046
61/8610 (epoch 0), train_loss = 2.815, time/batch = 0.046
62/8610 (epoch 0), train_loss = 2.866, time/batch = 0.046
63/8610 (epoch 0), train_loss = 2.797, time/batch = 0.046
64/8610 (epoch 0), train_loss = 2.786, time/batch = 0.046
65/8610 (epoch 0), train_loss = 2.757, time/batch = 0.047
66/8610 (epoch 0), train_loss = 2.680, time/batch = 0.046
67/8610 (epoch 0), train_loss = 2.667, time/batch = 0.047
68/8610 (epoch 0), train_loss = 2.615, time/batch = 0.046
69/8610 (epoch 0), train_loss = 2.664, time/batch = 0.046
70/8610 (epoch 0), train_loss = 2.639, time/batch = 0.047
71/8610 (epoch 0), train_loss = 2.641, time/batch = 0.046
72/8610 (epoch 0), train_loss = 2.591, time/batch = 0.046
73/8610 (epoch 0), train_loss = 2.642, time/batch = 0.046
74/8610 (epoch 0), train_loss = 2.550, time/batch = 0.046
75/8610 (epoch 0), train_loss = 2.592, time/batch = 0.046
76/8610 (epoch 0), train_loss = 2.548, time/batch = 0.046
77/8610 (epoch 0), train_loss = 2.531, time/batch = 0.049
78/8610 (epoch 0), train_loss = 2.502, time/batch = 0.046
79/8610 (epoch 0), train_loss = 2.556, time/batch = 0.046
80/8610 (epoch 0), train_loss = 2.526, time/batch = 0.046
81/8610 (epoch 0), train_loss = 2.495, time/batch = 0.046
82/8610 (epoch 0), train_loss = 2.527, time/batch = 0.046
83/8610 (epoch 0), train_loss = 2.508, time/batch = 0.046
84/8610 (epoch 0), train_loss = 2.476, time/batch = 0.046
85/8610 (epoch 0), train_loss = 2.556, time/batch = 0.046
86/8610 (epoch 0), train_loss = 2.467, time/batch = 0.046
87/8610 (epoch 0), train_loss = 2.419, time/batch = 0.046
88/8610 (epoch 0), train_loss = 2.457, time/batch = 0.046
89/8610 (epoch 0), train_loss = 2.408, time/batch = 0.046
90/8610 (epoch 0), train_loss = 2.499, time/batch = 0.046
91/8610 (epoch 0), train_loss = 2.432, time/batch = 0.046
92/8610 (epoch 0), train_loss = 2.377, time/batch = 0.046
93/8610 (epoch 0), train_loss = 2.447, time/batch = 0.046
94/8610 (epoch 0), train_loss = 2.443, time/batch = 0.046
95/8610 (epoch 0), train_loss = 2.386, time/batch = 0.046
96/8610 (epoch 0), train_loss = 2.412, time/batch = 0.046
97/8610 (epoch 0), train_loss = 2.378, time/batch = 0.046
98/8610 (epoch 0), train_loss = 2.378, time/batch = 0.046
99/8610 (epoch 0), train_loss = 2.440, time/batch = 0.049
100/8610 (epoch 0), train_loss = 2.377, time/batch = 0.046
101/8610 (epoch 0), train_loss = 2.358, time/batch = 0.046
102/8610 (epoch 0), train_loss = 2.334, time/batch = 0.046
103/8610 (epoch 0), train_loss = 2.346, time/batch = 0.046
104/8610 (epoch 0), train_loss = 2.327, time/batch = 0.046
105/8610 (epoch 0), train_loss = 2.354, time/batch = 0.046
106/8610 (epoch 0), train_loss = 2.349, time/batch = 0.046
107/8610 (epoch 0), train_loss = 2.290, time/batch = 0.046
108/8610 (epoch 0), train_loss = 2.341, time/batch = 0.046
109/8610 (epoch 0), train_loss = 2.352, time/batch = 0.046
110/8610 (epoch 0), train_loss = 2.328, time/batch = 0.046
111/8610 (epoch 0), train_loss = 2.275, time/batch = 0.046
112/8610 (epoch 0), train_loss = 2.294, time/batch = 0.046
113/8610 (epoch 0), train_loss = 2.325, time/batch = 0.046
114/8610 (epoch 0), train_loss = 2.249, time/batch = 0.046
115/8610 (epoch 0), train_loss = 2.338, time/batch = 0.047
116/8610 (epoch 0), train_loss = 2.266, time/batch = 0.046
117/8610 (epoch 0), train_loss = 2.303, time/batch = 0.046
118/8610 (epoch 0), train_loss = 2.230, time/batch = 0.046
119/8610 (epoch 0), train_loss = 2.234, time/batch = 0.046
120/8610 (epoch 0), train_loss = 2.251, time/batch = 0.046
121/8610 (epoch 0), train_loss = 2.251, time/batch = 0.046
122/8610 (epoch 0), train_loss = 2.210, time/batch = 0.046
123/8610 (epoch 0), train_loss = 2.215, time/batch = 0.046
124/8610 (epoch 0), train_loss = 2.250, time/batch = 0.046
125/8610 (epoch 0), train_loss = 2.180, time/batch = 0.046
126/8610 (epoch 0), train_loss = 2.200, time/batch = 0.046
127/8610 (epoch 0), train_loss = 2.215, time/batch = 0.046
128/8610 (epoch 0), train_loss = 2.279, time/batch = 0.046
129/8610 (epoch 0), train_loss = 2.230, time/batch = 0.046
130/8610 (epoch 0), train_loss = 2.230, time/batch = 0.046
131/8610 (epoch 0), train_loss = 2.205, time/batch = 0.046
132/8610 (epoch 0), train_loss = 2.205, time/batch = 0.046
133/8610 (epoch 0), train_loss = 2.196, time/batch = 0.046
134/8610 (epoch 0), train_loss = 2.198, time/batch = 0.046
135/8610 (epoch 0), train_loss = 2.172, time/batch = 0.046
136/8610 (epoch 0), train_loss = 2.207, time/batch = 0.046
137/8610 (epoch 0), train_loss = 2.228, time/batch = 0.046
138/8610 (epoch 0), train_loss = 2.281, time/batch = 0.046
139/8610 (epoch 0), train_loss = 2.237, time/batch = 0.047
140/8610 (epoch 0), train_loss = 2.201, time/batch = 0.046
141/8610 (epoch 0), train_loss = 2.201, time/batch = 0.046
142/8610 (epoch 0), train_loss = 2.229, time/batch = 0.046
143/8610 (epoch 0), train_loss = 2.188, time/batch = 0.046
144/8610 (epoch 0), train_loss = 2.247, time/batch = 0.046
145/8610 (epoch 0), train_loss = 2.168, time/batch = 0.046
146/8610 (epoch 0), train_loss = 2.156, time/batch = 0.046
147/8610 (epoch 0), train_loss = 2.106, time/batch = 0.046
148/8610 (epoch 0), train_loss = 2.141, time/batch = 0.046
149/8610 (epoch 0), train_loss = 2.093, time/batch = 0.046
150/8610 (epoch 0), train_loss = 2.085, time/batch = 0.046
151/8610 (epoch 0), train_loss = 2.102, time/batch = 0.046
152/8610 (epoch 0), train_loss = 2.063, time/batch = 0.046
153/8610 (epoch 0), train_loss = 2.050, time/batch = 0.046
154/8610 (epoch 0), train_loss = 2.051, time/batch = 0.046
155/8610 (epoch 0), train_loss = 2.123, time/batch = 0.046
156/8610 (epoch 0), train_loss = 2.073, time/batch = 0.046
157/8610 (epoch 0), train_loss = 2.039, time/batch = 0.046
158/8610 (epoch 0), train_loss = 2.050, time/batch = 0.046
159/8610 (epoch 0), train_loss = 2.105, time/batch = 0.046
160/8610 (epoch 0), train_loss = 2.041, time/batch = 0.046
161/8610 (epoch 0), train_loss = 2.083, time/batch = 0.046
162/8610 (epoch 0), train_loss = 2.023, time/batch = 0.046
163/8610 (epoch 0), train_loss = 2.075, time/batch = 0.046
164/8610 (epoch 0), train_loss = 2.108, time/batch = 0.046
165/8610 (epoch 0), train_loss = 2.116, time/batch = 0.046
166/8610 (epoch 0), train_loss = 2.071, time/batch = 0.046
167/8610 (epoch 0), train_loss = 2.000, time/batch = 0.047
168/8610 (epoch 0), train_loss = 1.990, time/batch = 0.046
169/8610 (epoch 0), train_loss = 2.033, time/batch = 0.046
170/8610 (epoch 0), train_loss = 1.985, time/batch = 0.046
171/8610 (epoch 0), train_loss = 1.983, time/batch = 0.046
172/8610 (epoch 0), train_loss = 2.032, time/batch = 0.046
173/8610 (epoch 0), train_loss = 1.996, time/batch = 0.046
174/8610 (epoch 0), train_loss = 1.975, time/batch = 0.046
175/8610 (epoch 0), train_loss = 1.992, time/batch = 0.046
176/8610 (epoch 0), train_loss = 1.983, time/batch = 0.046
177/8610 (epoch 0), train_loss = 1.981, time/batch = 0.046
178/8610 (epoch 0), train_loss = 1.976, time/batch = 0.046
179/8610 (epoch 0), train_loss = 2.009, time/batch = 0.046
180/8610 (epoch 0), train_loss = 1.993, time/batch = 0.046
181/8610 (epoch 0), train_loss = 1.959, time/batch = 0.046
182/8610 (epoch 0), train_loss = 1.985, time/batch = 0.046
183/8610 (epoch 0), train_loss = 1.957, time/batch = 0.046
184/8610 (epoch 0), train_loss = 1.945, time/batch = 0.046
185/8610 (epoch 0), train_loss = 1.941, time/batch = 0.046
186/8610 (epoch 0), train_loss = 1.937, time/batch = 0.046
187/8610 (epoch 0), train_loss = 1.950, time/batch = 0.046
188/8610 (epoch 0), train_loss = 1.964, time/batch = 0.046
189/8610 (epoch 0), train_loss = 2.008, time/batch = 0.046
190/8610 (epoch 0), train_loss = 2.002, time/batch = 0.046
191/8610 (epoch 0), train_loss = 1.929, time/batch = 0.046
192/8610 (epoch 0), train_loss = 1.924, time/batch = 0.046
193/8610 (epoch 0), train_loss = 1.957, time/batch = 0.046
194/8610 (epoch 0), train_loss = 1.958, time/batch = 0.046
195/8610 (epoch 0), train_loss = 2.019, time/batch = 0.046
196/8610 (epoch 0), train_loss = 1.975, time/batch = 0.046
197/8610 (epoch 0), train_loss = 1.964, time/batch = 0.046
198/8610 (epoch 0), train_loss = 1.938, time/batch = 0.046
199/8610 (epoch 0), train_loss = 1.993, time/batch = 0.046
200/8610 (epoch 0), train_loss = 1.949, time/batch = 0.046
201/8610 (epoch 0), train_loss = 1.908, time/batch = 0.046
202/8610 (epoch 0), train_loss = 1.876, time/batch = 0.046
203/8610 (epoch 0), train_loss = 1.942, time/batch = 0.046
204/8610 (epoch 0), train_loss = 1.912, time/batch = 0.046
205/8610 (epoch 0), train_loss = 1.912, time/batch = 0.047
206/8610 (epoch 0), train_loss = 1.870, time/batch = 0.046
207/8610 (epoch 0), train_loss = 1.916, time/batch = 0.046
208/8610 (epoch 0), train_loss = 1.919, time/batch = 0.047
209/8610 (epoch 0), train_loss = 1.917, time/batch = 0.047
210/8610 (epoch 0), train_loss = 1.991, time/batch = 0.046
211/8610 (epoch 0), train_loss = 1.928, time/batch = 0.046
212/8610 (epoch 0), train_loss = 1.927, time/batch = 0.046
213/8610 (epoch 0), train_loss = 1.894, time/batch = 0.046
214/8610 (epoch 0), train_loss = 1.872, time/batch = 0.046
215/8610 (epoch 0), train_loss = 1.897, time/batch = 0.047
216/8610 (epoch 0), train_loss = 1.862, time/batch = 0.046
217/8610 (epoch 0), train_loss = 1.891, time/batch = 0.046
218/8610 (epoch 0), train_loss = 1.932, time/batch = 0.046
219/8610 (epoch 0), train_loss = 1.838, time/batch = 0.046
220/8610 (epoch 0), train_loss = 1.902, time/batch = 0.046
221/8610 (epoch 0), train_loss = 1.881, time/batch = 0.046
222/8610 (epoch 0), train_loss = 1.886, time/batch = 0.046
223/8610 (epoch 0), train_loss = 1.908, time/batch = 0.047
224/8610 (epoch 0), train_loss = 1.963, time/batch = 0.046
225/8610 (epoch 0), train_loss = 1.898, time/batch = 0.046
226/8610 (epoch 0), train_loss = 1.877, time/batch = 0.046
227/8610 (epoch 0), train_loss = 1.886, time/batch = 0.046
228/8610 (epoch 0), train_loss = 1.851, time/batch = 0.046
229/8610 (epoch 0), train_loss = 1.830, time/batch = 0.049
230/8610 (epoch 0), train_loss = 1.822, time/batch = 0.046
231/8610 (epoch 0), train_loss = 1.896, time/batch = 0.046
232/8610 (epoch 0), train_loss = 1.921, time/batch = 0.046
233/8610 (epoch 0), train_loss = 1.947, time/batch = 0.049
234/8610 (epoch 0), train_loss = 1.873, time/batch = 0.046
235/8610 (epoch 0), train_loss = 1.785, time/batch = 0.046
236/8610 (epoch 0), train_loss = 1.800, time/batch = 0.046
237/8610 (epoch 0), train_loss = 1.843, time/batch = 0.046
238/8610 (epoch 0), train_loss = 1.823, time/batch = 0.046
239/8610 (epoch 0), train_loss = 1.809, time/batch = 0.049
240/8610 (epoch 0), train_loss = 1.806, time/batch = 0.046
241/8610 (epoch 0), train_loss = 1.782, time/batch = 0.047
242/8610 (epoch 0), train_loss = 1.797, time/batch = 0.046
243/8610 (epoch 0), train_loss = 1.833, time/batch = 0.046
244/8610 (epoch 0), train_loss = 1.783, time/batch = 0.046
245/8610 (epoch 0), train_loss = 1.783, time/batch = 0.046
246/8610 (epoch 0), train_loss = 1.853, time/batch = 0.046
247/8610 (epoch 0), train_loss = 1.768, time/batch = 0.046
248/8610 (epoch 0), train_loss = 1.865, time/batch = 0.046
249/8610 (epoch 0), train_loss = 1.798, time/batch = 0.049
250/8610 (epoch 0), train_loss = 1.774, time/batch = 0.046
251/8610 (epoch 0), train_loss = 1.778, time/batch = 0.047
252/8610 (epoch 0), train_loss = 1.870, time/batch = 0.046
253/8610 (epoch 0), train_loss = 1.748, time/batch = 0.046
254/8610 (epoch 0), train_loss = 1.772, time/batch = 0.046
255/8610 (epoch 0), train_loss = 1.741, time/batch = 0.046
256/8610 (epoch 0), train_loss = 1.845, time/batch = 0.046
257/8610 (epoch 0), train_loss = 1.843, time/batch = 0.047
258/8610 (epoch 0), train_loss = 1.751, time/batch = 0.046
259/8610 (epoch 0), train_loss = 1.814, time/batch = 0.048
260/8610 (epoch 0), train_loss = 1.753, time/batch = 0.054
261/8610 (epoch 0), train_loss = 1.758, time/batch = 0.046
262/8610 (epoch 0), train_loss = 1.792, time/batch = 0.046
263/8610 (epoch 0), train_loss = 1.700, time/batch = 0.046
264/8610 (epoch 0), train_loss = 1.717, time/batch = 0.046
265/8610 (epoch 0), train_loss = 1.720, time/batch = 0.046
266/8610 (epoch 0), train_loss = 1.749, time/batch = 0.046
