reading text file
0/22300 (epoch 0), train_loss = 4.181, time/batch = 0.687
model saved to save/model.ckpt
1/22300 (epoch 0), train_loss = 4.153, time/batch = 0.034
2/22300 (epoch 0), train_loss = 4.082, time/batch = 0.033
3/22300 (epoch 0), train_loss = 3.908, time/batch = 0.033
4/22300 (epoch 0), train_loss = 3.585, time/batch = 0.033
5/22300 (epoch 0), train_loss = 3.573, time/batch = 0.033
6/22300 (epoch 0), train_loss = 3.495, time/batch = 0.033
7/22300 (epoch 0), train_loss = 3.405, time/batch = 0.032
8/22300 (epoch 0), train_loss = 3.344, time/batch = 0.032
9/22300 (epoch 0), train_loss = 3.418, time/batch = 0.032
10/22300 (epoch 0), train_loss = 3.335, time/batch = 0.032
11/22300 (epoch 0), train_loss = 3.349, time/batch = 0.032
12/22300 (epoch 0), train_loss = 3.337, time/batch = 0.032
13/22300 (epoch 0), train_loss = 3.301, time/batch = 0.032
14/22300 (epoch 0), train_loss = 3.366, time/batch = 0.033
15/22300 (epoch 0), train_loss = 3.349, time/batch = 0.032
16/22300 (epoch 0), train_loss = 3.304, time/batch = 0.032
17/22300 (epoch 0), train_loss = 3.323, time/batch = 0.032
18/22300 (epoch 0), train_loss = 3.307, time/batch = 0.032
19/22300 (epoch 0), train_loss = 3.283, time/batch = 0.032
20/22300 (epoch 0), train_loss = 3.316, time/batch = 0.032
21/22300 (epoch 0), train_loss = 3.341, time/batch = 0.032
22/22300 (epoch 0), train_loss = 3.343, time/batch = 0.032
23/22300 (epoch 0), train_loss = 3.347, time/batch = 0.032
24/22300 (epoch 0), train_loss = 3.392, time/batch = 0.032
25/22300 (epoch 0), train_loss = 3.341, time/batch = 0.032
26/22300 (epoch 0), train_loss = 3.289, time/batch = 0.032
27/22300 (epoch 0), train_loss = 3.282, time/batch = 0.032
28/22300 (epoch 0), train_loss = 3.273, time/batch = 0.032
29/22300 (epoch 0), train_loss = 3.285, time/batch = 0.032
30/22300 (epoch 0), train_loss = 3.324, time/batch = 0.032
31/22300 (epoch 0), train_loss = 3.357, time/batch = 0.032
32/22300 (epoch 0), train_loss = 3.280, time/batch = 0.032
33/22300 (epoch 0), train_loss = 3.308, time/batch = 0.032
34/22300 (epoch 0), train_loss = 3.294, time/batch = 0.032
35/22300 (epoch 0), train_loss = 3.296, time/batch = 0.032
36/22300 (epoch 0), train_loss = 3.294, time/batch = 0.032
